core_pdb_id,nearest_train_pdb_id,max_ligand_tanimoto
4jsz,2wej,1.0
4ivb,4iva,1.0
4f3c,3dp9,1.0
4f2w,1y6q,1.0
4f09,4ehz,1.0
2cbv,4iie,1.0
4gfm,4gfo,1.0
4eor,1h1s,1.0
3wtj,3c84,1.0
3uex,1hmr,1.0
3uev,1hmr,1.0
3uew,1hmr,1.0
1w4o,1n3z,1.0
1y6r,1k27,1.0
4dld,3tza,1.0
1uto,1utm,1.0
1syi,1syh,1.0
2j7h,4ufi,1.0
2j78,1e6s,1.0
2cet,2cer,1.0
3f3d,4io6,1.0
3f3e,1lan,1.0
3fv1,3gba,1.0
4twp,4agc,1.0
3pxf,2ans,1.0
1qkt,1jgl,1.0
1bcu,2v57,1.0
1o5b,1c5n,1.0
1nc1,2qtg,1.0
1nc3,2qtt,1.0
1p1q,1ftm,1.0
1ps3,2wvz,1.0
2xb8,4b6o,1.0
2xj7,3suw,1.0
2ymd,3adv,1.0
2yge,1yet,1.0
3dxg,1loq,1.0
2wbg,2wc3,1.0
2wer,1bgq,1.0
2wca,3gs6,1.0
3dd0,3mdz,1.0
3d6q,3d6o,1.0
3d4z,2ceq,1.0
3cyx,1hxb,1.0
3prs,1hxw,1.0
3pww,1hxb,1.0
3p5o,2yek,1.0
3qqs,4ij1,1.0
3u9q,1hmr,1.0
3ueu,1hmr,1.0
3twp,2y7p,1.0
3aru,3arr,1.0
3nq9,1hmr,1.0
3n7a,1gu1,1.0
3f3a,1qaw,1.0
1c5z,1bty,1.0
1p1n,3u92,1.0
1o0h,1amw,1.0
1o3f,1o5a,1.0
2iwx,2cgf,0.9787234042553191
3syr,4pb2,0.9777777777777777
3kwa,1pot,0.9473684210526315
3tsk,3ts4,0.9375
3o9i,3o9d,0.90625
3ag9,3bwj,0.8969072164948454
1eby,1d4h,0.896551724137931
3arq,3f8f,0.8641975308641975
4gr0,4gr8,0.8589743589743589
4w9l,4w9j,0.8505747126436781
4w9h,4w9j,0.8470588235294118
3nw9,3hvh,0.8409090909090909
2yfe,4a4w,0.8360655737704918
3zso,3zsq,0.8333333333333334
3coy,3cow,0.8271604938271605
1u1b,1mrn,0.81
3ryj,3ryx,0.8095238095238095
4ivc,4iva,0.8059701492537313
4w9c,4bks,0.8059701492537313
2zda,2zgx,0.8055555555555556
1qf1,1r1j,0.7857142857142857
2wn9,2wnj,0.7833333333333333
4ivd,4iva,0.782608695652174
2zcr,2zcs,0.7777777777777778
4m0z,4m12,0.7777777777777778
3ejr,3ejq,0.7678571428571429
4cig,4cjr,0.7671232876712328
4w9i,4w9f,0.7671232876712328
